CustomerID,Name,Age,Gender,Location,Subscription_Length_Months,Monthly_Bill,Total_Usage_GB,Churn
25002,Customer_25002,26,Female,New York,24,97.66,415,0
25003,Customer_25003,67,Male,Houston,19,81.83,89,1
25004,Customer_25004,20,Female,Miami,16,89.99,126,1
25005,Customer_25005,45,Male,Los Angeles,21,42.53,63,0
25006,Customer_25006,60,Male,Miami,3,45.23,73,0
25007,Customer_25007,38,Female,Chicago,9,91.98,147,0
25008,Customer_25008,27,Female,Chicago,4,40.71,398,0
25009,Customer_25009,45,Male,Los Angeles,15,48.97,119,0
25010,Customer_25010,51,Female,Los Angeles,13,63.18,261,1
25011,Customer_25011,47,Female,Miami,22,55.64,196,1
25012,Customer_25012,64,Male,Chicago,2,75.81,83,0
25013,Customer_25013,64,Male,Chicago,17,83.2,333,1
25014,Customer_25014,36,Male,New York,23,58.67,194,1
25015,Customer_25015,54,Male,Chicago,11,35.85,274,1
25016,Customer_25016,29,Female,Houston,11,94.43,86,1
25017,Customer_25017,42,Male,Chicago,10,75.0,438,0
25018,Customer_25018,68,Female,Houston,1,99.87,209,1
25019,Customer_25019,41,Female,Chicago,23,73.58,254,0
25020,Customer_25020,37,Male,New York,1,57.01,256,0
25021,Customer_25021,47,Male,Miami,14,49.18,453,1
25022,Customer_25022,60,Male,Los Angeles,1,60.12,63,1
25023,Customer_25023,43,Female,Miami,11,42.19,129,0
25024,Customer_25024,56,Male,Houston,23,62.8,500,0
25025,Customer_25025,51,Male,Miami,1,52.24,483,1
25026,Customer_25026,37,Male,Miami,2,64.41,175,0
25027,Customer_25027,26,Male,New York,10,64.78,467,1
25028,Customer_25028,33,Male,Houston,14,93.97,185,1
25029,Customer_25029,64,Male,Houston,14,91.58,132,1
25030,Customer_25030,36,Male,Houston,8,46.14,240,0
25031,Customer_25031,57,Male,Chicago,17,41.04,156,0
25032,Customer_25032,64,Male,Miami,18,35.55,189,0
25033,Customer_25033,43,Male,Los Angeles,11,69.02,405,1
25034,Customer_25034,33,Female,Los Angeles,3,38.13,337,1
25035,Customer_25035,61,Male,Houston,6,32.83,266,0
25036,Customer_25036,26,Male,Chicago,13,97.89,104,0
25037,Customer_25037,55,Female,Chicago,1,63.19,308,0
25038,Customer_25038,44,Male,Los Angeles,11,40.4,65,1
25039,Customer_25039,65,Male,Houston,3,42.81,157,1
25040,Customer_25040,36,Female,New York,23,58.11,377,0
25041,Customer_25041,41,Female,Chicago,20,66.62,53,1
25042,Customer_25042,70,Female,Los Angeles,13,69.01,281,1
25043,Customer_25043,48,Male,Houston,12,88.69,390,1
25044,Customer_25044,27,Female,New York,9,83.95,67,1
25045,Customer_25045,28,Female,Houston,15,78.7,98,0
25046,Customer_25046,43,Female,Miami,5,98.36,178,1
25047,Customer_25047,34,Female,New York,14,45.74,143,1
25048,Customer_25048,60,Male,Chicago,6,39.24,496,0
25049,Customer_25049,54,Male,Houston,16,38.25,202,0
25050,Customer_25050,48,Female,New York,2,59.17,267,0
25051,Customer_25051,45,Female,New York,12,45.84,436,1
25052,Customer_25052,69,Male,New York,13,93.54,457,1
25053,Customer_25053,33,Male,Los Angeles,24,54.35,239,1
25054,Customer_25054,40,Male,New York,6,44.89,444,0
25055,Customer_25055,65,Female,New York,5,43.14,200,1
25056,Customer_25056,54,Male,Los Angeles,7,33.24,272,0
25057,Customer_25057,28,Male,Houston,8,78.77,282,1
25058,Customer_25058,45,Male,Houston,14,85.1,208,1
25059,Customer_25059,24,Male,Los Angeles,14,52.14,294,0
25060,Customer_25060,29,Male,Los Angeles,11,66.16,253,0
25061,Customer_25061,35,Male,Los Angeles,10,92.17,231,1
25062,Customer_25062,55,Female,Miami,9,38.84,479,1
25063,Customer_25063,44,Female,Los Angeles,16,47.48,206,0
25064,Customer_25064,63,Male,New York,17,74.72,117,0
25065,Customer_25065,50,Male,Chicago,6,35.44,237,0
25066,Customer_25066,51,Female,New York,22,69.44,479,0
25067,Customer_25067,51,Male,Los Angeles,22,86.28,313,0
25068,Customer_25068,49,Female,Miami,20,98.7,89,0
25069,Customer_25069,33,Female,Miami,5,31.49,150,1
25070,Customer_25070,28,Male,Houston,4,45.77,251,1
25071,Customer_25071,65,Male,New York,6,52.14,310,0
25072,Customer_25072,34,Female,Chicago,11,99.56,72,0
25073,Customer_25073,66,Female,Houston,16,34.77,361,1
25074,Customer_25074,38,Female,Los Angeles,15,85.79,273,1
25075,Customer_25075,41,Female,Houston,1,98.3,157,1
25076,Customer_25076,23,Male,Houston,15,50.81,161,1
25077,Customer_25077,47,Male,New York,9,52.09,220,0
25078,Customer_25078,48,Female,Houston,20,60.22,328,1
25079,Customer_25079,18,Male,New York,2,97.59,243,0
25080,Customer_25080,67,Male,Chicago,7,75.3,213,1
25081,Customer_25081,44,Male,Los Angeles,6,71.06,210,1
25082,Customer_25082,27,Male,Los Angeles,13,50.46,292,0
25083,Customer_25083,41,Male,Miami,1,77.23,239,1
25084,Customer_25084,67,Male,Chicago,11,66.98,56,1
25085,Customer_25085,68,Female,New York,18,95.65,202,0
25086,Customer_25086,55,Female,Los Angeles,6,46.97,398,0
25087,Customer_25087,29,Male,Los Angeles,14,83.16,59,1
25088,Customer_25088,67,Male,New York,5,52.22,96,0
25089,Customer_25089,62,Male,Houston,13,87.69,316,1
25090,Customer_25090,19,Male,Miami,12,58.82,404,0
25091,Customer_25091,69,Female,Chicago,12,66.6,489,1
25092,Customer_25092,54,Male,Chicago,9,90.73,291,0
25093,Customer_25093,24,Female,Los Angeles,11,61.6,253,1
25094,Customer_25094,50,Male,New York,5,75.09,432,1
25095,Customer_25095,21,Female,New York,12,94.59,213,0
25096,Customer_25096,25,Female,Houston,2,44.71,448,0
25097,Customer_25097,59,Female,New York,23,68.98,214,1
25098,Customer_25098,40,Female,Miami,8,84.1,62,0
25099,Customer_25099,22,Female,Houston,3,80.8,282,1
25100,Customer_25100,55,Female,Houston,5,81.03,196,0
25101,Customer_25101,47,Male,Chicago,24,79.04,85,1
25102,Customer_25102,47,Male,New York,16,65.97,378,0
25103,Customer_25103,48,Male,Los Angeles,20,60.7,66,1
25104,Customer_25104,43,Male,Los Angeles,7,31.06,138,1
25105,Customer_25105,27,Female,Houston,24,99.74,185,0
25106,Customer_25106,47,Male,Houston,4,82.03,346,0
25107,Customer_25107,44,Male,Miami,20,51.68,342,1
25108,Customer_25108,57,Male,Miami,19,79.4,213,0
25109,Customer_25109,25,Female,Chicago,22,37.39,487,1
25110,Customer_25110,69,Female,Chicago,6,47.38,65,0
25111,Customer_25111,38,Female,Los Angeles,24,35.11,355,1
25112,Customer_25112,38,Male,Chicago,1,48.71,147,1
25113,Customer_25113,26,Male,Los Angeles,21,35.94,378,0
25114,Customer_25114,25,Male,Miami,12,67.98,124,0
25115,Customer_25115,19,Male,Miami,19,66.95,358,1
25116,Customer_25116,55,Female,Los Angeles,15,60.08,181,0
25117,Customer_25117,38,Female,Los Angeles,5,32.12,400,0
25118,Customer_25118,51,Female,New York,6,34.76,59,0
25119,Customer_25119,61,Male,Chicago,11,32.99,393,0
25120,Customer_25120,38,Female,Houston,12,80.82,268,0
25121,Customer_25121,27,Male,Miami,15,35.6,103,0
25122,Customer_25122,27,Female,Houston,8,96.86,286,1
25123,Customer_25123,52,Female,Houston,18,50.26,316,0
25124,Customer_25124,37,Female,Miami,20,44.12,295,1
25125,Customer_25125,25,Female,Miami,22,64.06,439,1
25126,Customer_25126,62,Female,Houston,10,51.77,378,1
25127,Customer_25127,35,Female,New York,19,47.28,81,0
25128,Customer_25128,44,Female,Los Angeles,1,50.88,160,0
25129,Customer_25129,67,Female,Houston,13,82.45,499,1
25130,Customer_25130,44,Female,Chicago,11,94.98,153,1
25131,Customer_25131,62,Female,New York,1,93.89,225,1
25132,Customer_25132,44,Male,Chicago,6,77.88,124,0
25133,Customer_25133,61,Male,Miami,7,34.27,215,1
25134,Customer_25134,59,Male,Chicago,24,90.71,390,0
25135,Customer_25135,19,Male,Houston,18,86.52,113,1
25136,Customer_25136,43,Male,Houston,15,46.92,59,0
25137,Customer_25137,40,Female,Miami,12,87.7,317,0
25138,Customer_25138,49,Female,Los Angeles,9,65.59,93,0
25139,Customer_25139,66,Male,Chicago,3,52.14,488,1
25140,Customer_25140,62,Male,Miami,19,61.28,355,1
25141,Customer_25141,32,Female,New York,22,49.6,76,1
25142,Customer_25142,33,Female,Houston,11,58.36,225,0
25143,Customer_25143,43,Female,Los Angeles,1,45.76,350,1
25144,Customer_25144,31,Male,Miami,21,83.35,347,1
25145,Customer_25145,37,Male,Houston,23,86.63,265,1
25146,Customer_25146,37,Female,Miami,9,65.63,108,0
25147,Customer_25147,54,Male,Houston,17,51.61,301,1
25148,Customer_25148,50,Male,Houston,21,53.32,79,1
25149,Customer_25149,41,Male,Los Angeles,11,96.28,411,1
25150,Customer_25150,33,Female,Chicago,24,90.08,320,0
25151,Customer_25151,66,Female,New York,2,66.96,200,0
25152,Customer_25152,40,Female,Los Angeles,9,54.98,161,0
25153,Customer_25153,55,Female,Miami,9,37.14,416,1
25154,Customer_25154,63,Male,Miami,6,92.77,383,0
25155,Customer_25155,44,Male,Los Angeles,22,95.58,312,1
25156,Customer_25156,25,Female,Chicago,20,47.4,259,0
25157,Customer_25157,49,Female,Miami,15,97.74,192,0
25158,Customer_25158,31,Male,Houston,10,93.87,311,0
25159,Customer_25159,34,Female,Miami,17,91.01,154,1
25160,Customer_25160,19,Female,Houston,2,73.4,431,1
25161,Customer_25161,25,Male,Miami,18,89.0,493,0
25162,Customer_25162,68,Female,Chicago,1,47.85,500,0
25163,Customer_25163,31,Female,Houston,24,34.31,97,0
25164,Customer_25164,65,Male,Houston,16,32.57,404,0
25165,Customer_25165,69,Female,Houston,14,71.42,488,1
25166,Customer_25166,65,Male,Chicago,15,94.12,497,0
25167,Customer_25167,32,Male,Houston,11,62.22,280,1
25168,Customer_25168,56,Male,Los Angeles,9,70.85,212,0
25169,Customer_25169,41,Female,Chicago,4,84.67,92,0
25170,Customer_25170,54,Male,Houston,18,39.53,77,1
25171,Customer_25171,26,Female,Houston,20,35.22,313,0
25172,Customer_25172,31,Female,Los Angeles,23,38.83,496,1
