CustomerID,Name,Age,Gender,Location,Subscription_Length_Months,Monthly_Bill,Total_Usage_GB,Churn
50002,Customer_50002,50,Female,New York,5,66.96,234,1
50003,Customer_50003,22,Female,Miami,16,98.27,106,1
50004,Customer_50004,23,Female,Chicago,21,88.14,339,1
50005,Customer_50005,32,Male,Miami,6,73.4,300,0
50006,Customer_50006,33,Female,Chicago,17,94.54,188,0
50007,Customer_50007,63,Female,New York,18,58.44,136,0
50008,Customer_50008,31,Female,Chicago,3,48.85,351,1
50009,Customer_50009,54,Male,Chicago,18,99.91,146,1
50010,Customer_50010,23,Male,Los Angeles,14,50.88,310,0
50011,Customer_50011,46,Female,Miami,6,87.27,223,1
50012,Customer_50012,24,Male,Chicago,6,34.99,498,0
50013,Customer_50013,18,Female,Los Angeles,8,79.69,179,0
50014,Customer_50014,24,Female,Chicago,13,68.56,317,1
50015,Customer_50015,40,Female,New York,1,87.13,333,1
50016,Customer_50016,46,Female,New York,18,44.93,119,1
50017,Customer_50017,59,Male,Miami,13,52.85,318,0
50018,Customer_50018,32,Female,New York,2,59.91,496,1
50019,Customer_50019,55,Female,Miami,10,49.0,146,0
50020,Customer_50020,23,Male,Los Angeles,15,84.7,420,0
50021,Customer_50021,22,Female,Chicago,15,33.08,500,1
50022,Customer_50022,54,Female,Chicago,3,32.13,230,1
50023,Customer_50023,52,Female,New York,5,36.4,288,0
50024,Customer_50024,55,Female,New York,13,99.07,292,0
50025,Customer_50025,46,Female,Houston,2,47.06,55,1
50026,Customer_50026,24,Female,New York,12,66.16,470,0
50027,Customer_50027,47,Female,Chicago,21,74.6,461,1
50028,Customer_50028,47,Male,Los Angeles,16,72.41,314,0
50029,Customer_50029,68,Male,Miami,2,61.35,360,0
50030,Customer_50030,31,Female,Miami,16,89.06,260,0
50031,Customer_50031,56,Male,Chicago,8,85.16,291,0
50032,Customer_50032,40,Male,Chicago,17,67.87,332,1
50033,Customer_50033,63,Female,New York,13,71.84,372,1
50034,Customer_50034,38,Female,Chicago,8,35.98,196,0
50035,Customer_50035,60,Female,Miami,24,49.8,301,1
50036,Customer_50036,28,Male,New York,9,69.65,316,0
50037,Customer_50037,64,Male,New York,11,59.3,488,0
50038,Customer_50038,42,Female,New York,12,84.16,261,1
50039,Customer_50039,37,Male,Los Angeles,7,34.36,304,1
50040,Customer_50040,56,Female,Chicago,7,33.47,435,1
50041,Customer_50041,55,Female,Los Angeles,18,57.35,313,1
50042,Customer_50042,27,Female,Chicago,8,79.02,459,0
50043,Customer_50043,70,Male,Houston,11,44.64,163,0
50044,Customer_50044,60,Female,Miami,3,33.55,395,1
50045,Customer_50045,26,Female,New York,24,77.67,58,0
50046,Customer_50046,32,Male,Houston,19,99.53,284,1
50047,Customer_50047,64,Female,Los Angeles,9,50.16,498,0
50048,Customer_50048,26,Male,Los Angeles,2,97.05,186,1
50049,Customer_50049,52,Female,Los Angeles,21,41.57,263,1
50050,Customer_50050,24,Female,Los Angeles,2,77.47,85,1
50051,Customer_50051,23,Female,Chicago,2,35.07,315,1
50052,Customer_50052,36,Male,Houston,20,87.11,51,1
50053,Customer_50053,49,Female,Chicago,6,97.86,249,1
50054,Customer_50054,18,Female,Miami,22,46.4,491,1
50055,Customer_50055,62,Female,Houston,19,56.17,465,0
50056,Customer_50056,24,Female,Chicago,6,38.62,436,0
50057,Customer_50057,27,Female,Miami,20,72.55,224,1
50058,Customer_50058,52,Female,Houston,8,58.76,288,0
50059,Customer_50059,21,Female,New York,14,77.14,424,1
50060,Customer_50060,49,Female,Houston,11,75.48,216,0
50061,Customer_50061,40,Female,Houston,12,44.8,305,1
50062,Customer_50062,29,Female,Los Angeles,20,51.58,246,1
50063,Customer_50063,69,Male,Los Angeles,5,71.66,233,1
50064,Customer_50064,36,Male,New York,2,99.93,367,1
50065,Customer_50065,57,Female,Los Angeles,22,72.76,52,1
50066,Customer_50066,52,Female,Los Angeles,3,56.4,404,1
50067,Customer_50067,67,Female,New York,5,65.02,250,0
50068,Customer_50068,41,Female,Los Angeles,23,31.11,395,1
50069,Customer_50069,25,Male,New York,12,68.14,333,1
50070,Customer_50070,53,Female,Miami,1,65.77,478,1
50071,Customer_50071,22,Male,Los Angeles,2,78.78,56,0
50072,Customer_50072,49,Female,New York,18,46.0,352,0
50073,Customer_50073,66,Male,Miami,12,49.56,396,1
50074,Customer_50074,37,Male,Houston,14,51.89,446,1
50075,Customer_50075,66,Male,Miami,12,79.57,394,1
50076,Customer_50076,48,Male,Houston,16,51.09,354,0
50077,Customer_50077,46,Male,Chicago,13,81.15,484,0
50078,Customer_50078,42,Female,Houston,16,58.36,474,1
50079,Customer_50079,60,Female,Houston,3,87.83,361,1
50080,Customer_50080,32,Female,Los Angeles,19,56.27,65,0
50081,Customer_50081,67,Female,Chicago,13,36.59,487,0
50082,Customer_50082,53,Female,Chicago,18,67.52,225,1
50083,Customer_50083,28,Male,New York,1,87.56,485,1
50084,Customer_50084,67,Male,Los Angeles,17,56.43,496,0
50085,Customer_50085,44,Male,Miami,7,30.73,261,1
50086,Customer_50086,47,Male,Miami,13,53.21,463,1
50087,Customer_50087,19,Female,Houston,7,95.66,216,0
50088,Customer_50088,62,Female,New York,11,82.92,200,1
50089,Customer_50089,49,Female,New York,2,86.43,52,0
50090,Customer_50090,57,Male,New York,14,98.56,486,0
50091,Customer_50091,24,Female,Miami,1,53.89,359,0
50092,Customer_50092,41,Female,Miami,18,42.95,76,1
50093,Customer_50093,52,Male,Chicago,21,91.64,451,0
50094,Customer_50094,48,Female,Los Angeles,5,63.0,471,1
50095,Customer_50095,56,Female,Houston,10,83.59,340,0
50096,Customer_50096,42,Female,New York,11,61.11,380,1
50097,Customer_50097,59,Female,Los Angeles,7,90.72,334,1
50098,Customer_50098,35,Male,Houston,3,77.23,155,0
50099,Customer_50099,54,Female,Houston,2,56.3,434,0
50100,Customer_50100,44,Male,Los Angeles,21,78.69,357,0
50101,Customer_50101,26,Male,Miami,9,47.4,210,1
50102,Customer_50102,42,Female,Los Angeles,20,68.17,313,1
50103,Customer_50103,49,Female,Houston,15,83.78,265,0
50104,Customer_50104,43,Male,New York,13,89.56,290,0
50105,Customer_50105,25,Male,Houston,21,55.17,375,0
50106,Customer_50106,24,Male,Los Angeles,12,82.15,433,1
50107,Customer_50107,42,Male,Miami,23,73.49,401,0
50108,Customer_50108,44,Female,Chicago,10,65.7,326,0
50109,Customer_50109,35,Female,Chicago,5,77.95,175,0
50110,Customer_50110,53,Female,Houston,20,73.59,437,1
50111,Customer_50111,53,Female,Houston,19,35.84,268,0
