CustomerID,Name,Age,Gender,Location,Subscription_Length_Months,Monthly_Bill,Total_Usage_GB,Churn
75002,Customer_75002,24,Female,New York,6,85.0,243,1
75003,Customer_75003,47,Female,New York,12,48.16,455,0
75004,Customer_75004,26,Female,Chicago,20,94.19,231,0
75005,Customer_75005,27,Female,Miami,8,97.42,179,1
75006,Customer_75006,62,Male,Houston,1,57.95,279,1
75007,Customer_75007,39,Male,Los Angeles,20,71.6,200,0
75008,Customer_75008,29,Female,New York,9,68.84,182,1
75009,Customer_75009,59,Female,Los Angeles,16,66.87,329,0
75010,Customer_75010,60,Male,Miami,22,70.38,129,1
75011,Customer_75011,40,Female,Los Angeles,16,56.64,77,1
75012,Customer_75012,44,Female,Houston,6,58.25,169,1
75013,Customer_75013,70,Female,Chicago,16,53.38,442,1
75014,Customer_75014,38,Female,Houston,22,79.3,337,0
75015,Customer_75015,57,Female,New York,15,38.62,476,0
75016,Customer_75016,55,Female,Los Angeles,6,61.67,283,0
75017,Customer_75017,60,Female,New York,9,30.1,307,1
75018,Customer_75018,61,Female,Miami,6,45.17,164,1
75019,Customer_75019,23,Female,Miami,12,47.28,59,0
75020,Customer_75020,23,Male,Los Angeles,4,40.84,343,1
75021,Customer_75021,43,Male,Houston,5,43.93,249,1
75022,Customer_75022,27,Male,Los Angeles,22,57.17,406,1
75023,Customer_75023,28,Male,Los Angeles,23,43.82,67,1
75024,Customer_75024,55,Female,Houston,20,68.71,353,0
75025,Customer_75025,62,Female,Houston,6,36.29,201,0
75026,Customer_75026,26,Male,Chicago,7,61.62,403,0
75027,Customer_75027,66,Male,Los Angeles,4,35.9,56,0
75028,Customer_75028,59,Male,New York,21,37.26,356,1
75029,Customer_75029,56,Male,Miami,15,89.71,221,0
75030,Customer_75030,55,Male,Houston,20,98.84,411,0
75031,Customer_75031,30,Male,Chicago,14,61.64,115,1
75032,Customer_75032,38,Male,New York,2,30.87,180,1
75033,Customer_75033,37,Female,Miami,7,47.94,127,0
75034,Customer_75034,40,Female,Los Angeles,21,53.77,409,0
75035,Customer_75035,21,Male,Houston,1,48.11,52,1
75036,Customer_75036,18,Male,Miami,20,75.94,313,1
75037,Customer_75037,42,Male,Los Angeles,20,30.53,172,1
75038,Customer_75038,48,Male,New York,17,78.97,245,1
75039,Customer_75039,56,Female,Chicago,1,98.26,331,1
75040,Customer_75040,49,Female,Chicago,3,34.47,489,1
75041,Customer_75041,35,Male,Miami,16,64.8,149,1
75042,Customer_75042,49,Female,Los Angeles,23,90.45,96,0
75043,Customer_75043,62,Male,Miami,13,43.97,384,0
75044,Customer_75044,53,Male,Houston,19,83.13,239,0
75045,Customer_75045,19,Female,Miami,16,95.24,109,1
75046,Customer_75046,33,Female,Miami,20,91.36,483,0
75047,Customer_75047,43,Female,Chicago,8,96.72,222,1
75048,Customer_75048,20,Male,Miami,8,57.97,193,1
75049,Customer_75049,41,Female,Los Angeles,10,40.14,227,0
75050,Customer_75050,40,Female,Chicago,5,41.3,251,1
75051,Customer_75051,25,Female,Chicago,19,42.37,301,0
75052,Customer_75052,57,Female,Miami,22,53.83,420,0
75053,Customer_75053,67,Female,New York,6,71.6,317,0
75054,Customer_75054,69,Female,Miami,2,98.32,94,0
75055,Customer_75055,35,Female,Chicago,15,65.5,116,1
75056,Customer_75056,64,Female,Miami,24,79.97,80,1
75057,Customer_75057,68,Male,Miami,21,93.31,342,0
75058,Customer_75058,25,Male,New York,9,45.08,136,1
75059,Customer_75059,57,Male,Houston,19,64.23,158,1
75060,Customer_75060,22,Male,Houston,10,65.76,302,0
75061,Customer_75061,63,Male,Houston,3,35.67,357,0
75062,Customer_75062,31,Male,New York,7,43.6,383,0
75063,Customer_75063,26,Female,Miami,16,59.9,97,0
75064,Customer_75064,59,Female,New York,6,74.91,268,0
75065,Customer_75065,59,Male,New York,9,52.4,207,1
75066,Customer_75066,35,Female,Los Angeles,10,63.3,124,1
75067,Customer_75067,48,Female,Houston,10,83.82,327,0
75068,Customer_75068,62,Female,Los Angeles,18,67.1,104,0
75069,Customer_75069,19,Female,Chicago,16,73.77,291,0
75070,Customer_75070,44,Male,New York,14,76.81,191,0
75071,Customer_75071,48,Female,Miami,8,84.01,281,1
75072,Customer_75072,30,Female,Los Angeles,17,65.78,112,1
75073,Customer_75073,50,Female,Houston,19,68.39,471,0
75074,Customer_75074,67,Male,Miami,20,68.8,98,0
75075,Customer_75075,57,Female,Chicago,20,72.73,146,0
75076,Customer_75076,18,Male,Miami,2,81.5,202,0
75077,Customer_75077,36,Male,Chicago,17,71.93,261,0
75078,Customer_75078,64,Male,Los Angeles,13,63.51,225,1
75079,Customer_75079,30,Female,Miami,13,60.29,96,1
75080,Customer_75080,21,Male,Houston,20,41.42,170,1
75081,Customer_75081,63,Male,Los Angeles,19,96.86,335,0
75082,Customer_75082,55,Male,Houston,12,97.36,234,1
75083,Customer_75083,59,Female,Chicago,9,73.11,125,1
75084,Customer_75084,70,Female,Los Angeles,8,39.54,159,0
75085,Customer_75085,67,Male,Los Angeles,9,62.13,261,1
75086,Customer_75086,30,Female,Los Angeles,3,88.04,275,1
75087,Customer_75087,64,Male,Chicago,15,69.53,391,1
75088,Customer_75088,24,Female,New York,6,51.9,169,0
75089,Customer_75089,41,Male,Chicago,12,78.7,409,0
75090,Customer_75090,26,Female,Los Angeles,7,78.11,173,0
75091,Customer_75091,55,Female,New York,16,32.71,91,1
75092,Customer_75092,34,Female,Chicago,2,59.25,371,1
75093,Customer_75093,32,Male,Los Angeles,20,61.99,323,0
